Index,Provider,Complexity,amb_wrds,connective_wrd,imprecise_wrd,grammar_chk,spell_chk,punc_freq,acronym
1,Samsara,0.26007326,0.543508575,0.366971695,0.24324402,0.149374975,0.712645738,0.06661631,0.237210857
2,Airtable,0.185592186,0.728060582,0.177187302,0.54779996,0.078550221,0.863984697,0.01242549,0.179575955
3,Gitlab,0.142857143,0.045710222,0.717132031,0.266894146,0.050186919,0,0.214969415,0.281173377
4,Turbonomic,0.179487179,0.523157564,0.469965877,0.08991202,0.103055754,0.686031585,0.208510201,0.602182299
5,AWS,0,0,0.292121783,0.607050694,0.008805349,0.196960926,0.193757638,0.67650206
6,Oracle,0.162393162,0.585743872,0.431560079,0.439885092,0.024627785,0.577003998,0.370208957,0.253700302
7,vts,0.153846154,0.42120713,0.496681452,0.304525923,0.049499096,0.57496044,0.111040684,0.529357758
8,Plaid,0.167277167,0.496944958,0.548263394,0.311250265,0.030715162,0.581063319,0.322105809,0.065204254
9,Exabeam,0.195360195,0.835725408,0.732255951,0.206687223,0.128003165,0.361515416,1.189544589,0.443946262
10,Gusto,0.137973138,0.304964812,0.324592331,0.386082833,0.065421515,0.315976584,0.680737532,0.267328033
11,squarespace,0.068376068,0.19285163,0.50450655,0.637167744,0.140225259,0.494352114,0.076817213,0.578248457
12,Klaviyo,0.129426129,0.245984845,0.346329763,0.240437094,0.182670879,0.321968809,0.114097418,0.049260337
13,Adobe,0.11965812,0.387953336,0.334636014,0.615198526,0.023668922,0.628709537,0.426865638,0.603995777
14,Verizon,0.076923077,0.397756279,0,0.451230167,0.027359499,0.384818034,0.043189985,0.342720689
15,Seismic,0.411477411,0.720994655,0.486559141,0.23838031,0.199566836,0.862807543,0.06303442,0.220500779
16,Cloudflare,0.195360195,0.478687952,0.322506368,0.317891325,0.116540468,0.415365067,0.016577592,0.133835071
17,Weave,0.096459096,0.261623619,0.392412839,0.440199041,0.054828253,0.264121159,0.028983588,0.001190553
18,veeam,0.191697192,0.545927036,0.375326615,0.260670341,0.220993269,0.445601719,0.320591041,0.04665152
19,Rubrik,0.178266178,0.755530594,0.291820329,0.402758681,0.078469067,0.869841808,0.146173343,0.296974627
20,Welltok,0.123321123,0.466323874,0.14439982,0.363036457,0.058418707,0.512425376,0.096133108,0.052745376
21,Amwell,0.323565324,0.646203559,0.301664977,1,0.233111986,0.674170043,0.473669379,0.472045437
22,UIPath,0.087912088,0.196030117,0.450564496,0.410579213,0.03924311,0.243189281,0.448574906,0.323769573
23,Acquia,0.14041514,0.5644345,0.292175819,0.567198175,0.052061387,0.573364389,0.036672057,0.160778483
24,intercom,0.144078144,0.325014555,0.495316676,0.286314897,0.102397917,0.425036993,0.301069473,0.092507895
25,Illumio,0.261294261,0.787430609,0.524028011,0.339232932,0.065518799,0.865994864,0.029933281,0.171390258
26,Lookou,0.157509158,0.614858242,0.316891274,0.42709598,0.010072747,0.615745123,0.204812868,0.320037687
27,cloudbees,0.142857143,0.478118797,0.446627316,0.103683505,0.041052966,0.536794402,0.295158876,0.018258389
28,VMware,0.105006105,0.272938644,0.316102523,0.282715786,0.071541899,0.457896763,0.474978474,0.336721892
29,cloudways,0.042735043,0.184820971,0.284338181,0.737441898,0.065065115,0.137786975,0.41761536,0.113185275
30,OneTrus,0.170940171,0.910246642,0.807027473,0.523652801,0.154733918,0.136907826,1.220225624,0.406684623
31,Segmen,0.266178266,0.237732162,0.510896954,0.258682729,0.174122862,0.231414903,0.24176005,0.463642547
32,Sisense,0.299145299,1,0.410910292,0,0.47687606,0.302120801,0.713569849,0.557381797
33,Onshape,0.065934066,0.242257577,0.307843903,0.379209117,0.060652945,0.300336139,0.126648273,0.000389868
34,Carta,0.203907204,0.779036831,0.628625416,0.361621773,0.06721785,1,0.438527732,0.023758202
35,salesforce,0.161172161,0.72183649,0.347420163,0.544783388,0.087802118,0.610702963,0.08457455,0.430398794
36,riskified,0.126984127,0.461067401,0.584345216,0.128271545,0.12638511,0.38748246,0.707770143,0.325323875
37,talkdesk,0.255189255,0.326413443,0.389999798,0.284454313,0.138586343,0.351138132,0.107266778,0.099224831
38,Delphi,0.202686203,0.58713235,0.274874939,0.254260327,0.117260529,0.674160173,0.112099049,0.017156255
39,mailchimp,0.080586081,0.426104347,0.358360494,0.524213514,0.046400048,0.491774316,0.150268015,0.538500036
